Date,Open,High,Low,Close,Adj Close,Volume
2023-11-02,430.049988,432.700012,428.649994,431.149994,424.909424,8152031
2023-11-03,432.799988,434.399994,431.100006,433.250000,426.979034,13802600
2023-11-06,433.500000,436.799988,432.549988,435.350006,429.048645,7308229
2023-11-07,434.899994,434.899994,432.149994,432.700012,426.436981,5124012
2023-11-08,433.149994,437.500000,432.299988,436.950012,430.625488,6979849
2023-11-09,437.799988,438.000000,433.899994,434.399994,428.112366,7785767
2023-11-10,434.399994,438.000000,432.500000,436.549988,430.231232,4079205
2023-11-13,438.399994,438.399994,435.000000,436.000000,429.689209,3744754
2023-11-15,438.100006,442.500000,437.500000,441.950012,435.553101,7436428
2023-11-16,441.950012,444.500000,437.600006,438.649994,432.300842,10857863
2023-11-17,439.250000,441.500000,438.299988,439.250000,432.892181,6655278
2023-11-20,439.850006,440.299988,434.500000,436.799988,430.477631,4335388
2023-11-21,437.149994,439.299988,435.500000,436.250000,429.935608,5997810
2023-11-22,437.000000,440.399994,434.799988,439.700012,433.335663,4886687
2023-11-23,440.950012,442.250000,438.250000,440.350006,433.976257,6366606
2023-11-24,441.000000,442.250000,436.850006,437.799988,431.463165,6821878
2023-11-28,438.000000,439.000000,434.899994,435.250000,428.950073,8745691
2023-11-29,436.000000,438.500000,434.149994,437.200012,430.871857,13785216
2023-11-30,436.700012,438.450012,434.500000,435.799988,429.492096,15127505
2023-12-01,437.899994,450.950012,437.399994,449.799988,443.289459,19336856
2023-12-04,455.000000,456.399994,451.000000,454.049988,447.477936,12800220
2023-12-05,455.000000,457.799988,450.100006,451.750000,445.211243,12136292
2023-12-06,453.899994,464.500000,452.100006,463.250000,456.544800,20417559
2023-12-07,464.750000,464.799988,457.399994,458.100006,451.469330,11310918
2023-12-08,459.950012,461.600006,448.500000,449.149994,442.648865,18667895
2023-12-11,451.500000,453.600006,449.299988,452.450012,445.901123,6599973
2023-12-12,454.200012,460.000000,452.350006,453.100006,446.541718,10158101
2023-12-13,456.299988,458.850006,453.100006,455.649994,449.054779,11283868
2023-12-14,460.000000,461.000000,449.450012,460.100006,453.440399,14370803
2023-12-15,461.899994,462.950012,455.000000,458.200012,451.567902,15789845
2023-12-18,455.000000,456.000000,450.350006,451.649994,445.112701,12027620
2023-12-19,453.350006,458.000000,452.049988,456.100006,449.498291,10268755
2023-12-20,459.000000,459.250000,449.299988,451.000000,444.472107,10367665
2023-12-21,449.000000,453.750000,444.450012,451.450012,444.915588,11154625
2023-12-22,453.000000,455.899994,450.549988,455.200012,448.611328,11026317
2023-12-26,456.049988,458.899994,454.700012,456.450012,449.843231,5871301
2023-12-27,457.000000,458.500000,453.750000,457.100006,450.483826,7543383
2023-12-28,457.200012,464.700012,456.100006,464.100006,457.382507,20696101
2023-12-29,464.100006,467.899994,461.350006,462.100006,455.411438,12888266
2024-01-01,463.500000,469.950012,462.649994,468.049988,461.275299,9346277
2024-01-02,470.000000,471.350006,463.600006,470.350006,463.542023,10519771
2024-01-03,470.250000,480.700012,469.350006,477.250000,470.342163,24036012
2024-01-04,480.000000,481.450012,474.200012,476.399994,469.504456,11786959
2024-01-05,479.399994,479.399994,472.000000,473.950012,467.089935,9209405
2024-01-08,475.000000,475.500000,464.549988,465.500000,458.762238,8003177
2024-01-09,467.500000,469.950012,463.649994,464.549988,457.825958,5696780
2024-01-10,464.549988,466.750000,460.049988,463.299988,456.594055,5896123
2024-01-11,464.100006,466.549988,461.100006,462.649994,455.953461,6534775
2024-01-12,463.250000,467.700012,460.350006,466.700012,459.944855,9354326
2024-01-15,470.000000,470.500000,466.100006,467.600006,460.831848,6902156
2024-01-16,467.799988,475.000000,464.250000,472.299988,465.463776,12066347
2024-01-17,471.399994,477.000000,465.200012,466.600006,459.846313,11108698
2024-01-18,465.250000,467.850006,454.549988,465.500000,458.762238,9143784
2024-01-19,468.549988,473.000000,466.399994,471.500000,464.675385,12203322
2024-01-23,473.750000,473.750000,456.399994,459.299988,452.651947,8404513
2024-01-24,460.100006,467.399994,458.100006,463.600006,456.889740,21626183
2024-01-25,463.549988,464.950012,452.100006,455.649994,449.054779,19677700
2024-01-29,455.899994,457.250000,447.500000,449.799988,443.289459,17869152
2024-01-30,447.000000,453.700012,437.399994,438.049988,431.709534,43514448
2024-01-31,440.000000,442.500000,438.700012,441.549988,435.158875,19882944
2024-02-01,442.000000,447.750000,439.299988,442.899994,436.489349,19165409
2024-02-02,445.000000,447.200012,439.500000,440.100006,433.729889,17156021
2024-02-05,442.000000,443.649994,436.549988,438.049988,431.709534,12041897
2024-02-06,440.000000,440.899994,429.500000,431.399994,425.155792,18764371
2024-02-07,435.000000,435.000000,430.799988,431.799988,425.549988,12880824
2024-02-08,429.000000,429.100006,408.600006,414.549988,414.549988,48183882
2024-02-09,410.100006,424.200012,408.600006,415.500000,415.500000,32283965
2024-02-12,417.549988,418.000000,406.049988,406.850006,406.850006,10906914
2024-02-13,406.899994,410.799988,403.299988,406.750000,406.750000,15606705
2024-02-14,406.000000,412.250000,404.399994,411.549988,411.549988,12150077
2024-02-15,413.000000,414.549988,403.149994,403.899994,403.899994,20383983
2024-02-16,405.000000,409.549988,399.399994,404.600006,404.600006,37518847
2024-02-19,405.000000,412.750000,404.600006,409.250000,409.250000,16949793
2024-02-20,410.450012,410.450012,404.299988,406.100006,406.100006,14084218
2024-02-21,407.000000,410.100006,401.299988,403.350006,403.350006,19414653
2024-02-22,406.899994,415.149994,403.450012,414.450012,414.450012,18604659
2024-02-23,415.899994,415.899994,410.500000,411.399994,411.399994,11147636
2024-02-26,411.100006,413.049988,407.299988,409.200012,409.200012,7982145
2024-02-27,410.000000,412.750000,408.549988,411.149994,411.149994,7783743
2024-02-28,411.149994,412.350006,406.799988,408.299988,408.299988,8617768
